GENE 13.5M EV BUS - SEATER/SLEEPER COACH (Sitting:24 ; Sleeping:24),,,,,,,,
WEIGHT DETAILS,,,,,,,,
Sl. No.,System,Component,Description ,Design Weight,Actual Weight,Tentitive Weight,Tentitive Weight,
1,Chassis,,,,,,,
,,Chassis Frame (Steel Frame: Density 7833kg/m3),,,,,,
,,Front Axle,Independent LH and RH,,,,,
,,Rear Axle,,,,,,
,,Steering System Assembly,"Steering Wheel, Bevel, PSG, Rocker Arm",,,,,
,,Battery Weight,Quantity : 12,,,,,
,,4 in 1 Controller,,,,,,
,,BCS,,,,,,
,,TCS,,,,,,
,,Motor,,,,,,
2,Structure,"LH (YST240, YST355)",,314,,,,
,,"RH (YST240, YST355)",,314,,,,
,,"FRONT (YST240, YST355)",,87.7,,,,
,,"REAR (YST240, YST355)",,86.9,,,,
,,"ROOF (YST240, YST355)",,305,,,,
,,"Add-ons(L-Bends, Connectors, etc) [YST240]",,163.021,,,,
,,Service door Step (YST240),No. of Steps : 3,39,,,,
3,Exterior,"Luggage Flap (Aluminium, YST240) ",No. of Flaps : 6,116.6,,,,
,,"Battery Flap (Aluminium, YST240)",No. of Flaps : 6,98.8,,,,
,,"Service Flap(Service, radiator) (Aluminium, YST240, FRP)",No. of Flaps : 2,25.1,,,,
,,"Front Flap (FRP, YST240)","Flap Panel, Structure",,,22,,
,,"Rear Flap (FRP, YST240)","Flap Panel, Structure",,,19,,
,,Stretch Panel LH (YST240),Thickness : 1mm,54,,,,
,,Stretch Panel RH (YST240),Thickness : 1mm,54,,,,
,,"Front Fascia  (FRP, YST240)","Main Fascia, Bumper, Inserts",45.5,,,,
,,"Rear Fascia (FRP, YST240)","Main Fascia, Bumper, Inserts",89.6,,,,
,,Roof Panels (YST240),"LH, RH, Middle Panel",170,,,,
,,"Skirt Panel (Aluminium, YST240, MS)","Panel, Structure",12,,,,
,,Front WindShield-Top (Glass),Thickness : 8.7 mm,30,,,,
,,Front WindShield-Main (Glass),Thickness : 8.7 mm,68,,,,
,,Rear WindShield (Glass),Thickness : 5 mm,10,,,,
,,UB - Window Glass,Each Glass 5 mm Thick; Total glasses : 14,230,,,,
