,,,,,,,,,
,,,,,,,,,
,Battery QC List (Before starting installation),,,,,,,,
,,Date of Inspection: ,Battery  Serial Number,,Battery Pack number,,,,
,,Final Status: ,,,,,,,
,Sr no,Check parameter,Inspection Method,Stage,Status,Value,Remark,,
,Bootom Cooling Plate,,,,,,,,
,1,Check cooling plate welding quality and joints,Visual,Before starting installation,,-,,,
,2,Check the cooling plate for any damage or bending,Visual,Before starting installation,,,,,
,3,Check all mounting threads in the cooling plate for good condition,Visual,Before starting installation,,,,,
,4,Check the cooling plate for air leakage,Functional,Before starting installation,,,,,
,5,Check the TIM pad is properly pasted,Visual,Before starting installation,,,,,
,Upper Case,,,,,,,,
,6,Check the upper case for any dent or damage,Visual,Before starting installation,,,,,Battery Name plate photo
,7,Check the upper case inner insulation is properly placed.,Visual,Before starting installation,,,,,
,8,Check name plate and identification stickers are available on the upper case,Visual,Before starting installation,,,,,
,Module,,,,,,,,
,9,"Check the module for damage, leakage, or loose connections",Functional,Before starting installation,,,,,Insulation rresistence >2ohm
,10,Check all 3 module voltages; each module should be >52 V,Functional,Before starting installation,,,,,
,11,Check the heater and wiring connections,Visual,Before starting installation,,,,,
,Bus Bar and Connector Plate,,,,,,,,
,12,Check teh insulation of all positive and negative bus bars is in good condition,Visual,Before starting installation,,,,,
,13,Check the bus bar condition ensure it is not bent or damaged,Visual,Before starting installation,,,,,
,14,Check the connector plate positive and negative terminal fitment and condition,Visual,Before starting installation,,,,,
,15,Check the MSD base fitment and condition,Visual,Before starting installation,,,,,
,Slave BMS,,,,,,,,
,16,Check the Slave BMS for any damage,Visual,Before starting installation,,,,,
,17,Check the Slave BMS plate mounting,Visual,Before starting installation,,,,,
,,,,,,,,,
,Performed by – Employee Name,,,,,,,,
,Signature,,,,,,,,
