part_group_name,bus_system,description
HV Battery Pack,Battery & BMS,
Battery Management System,Battery & BMS,
Traction Motor,Powertrain,
Motor Controller / Inverter,Powertrain,
DC-DC Converter,Electrical & Wiring,
On-board Charger,Electrical & Wiring,
Thermal / Cooling System,Thermal Management,
Brake System,Brakes,
Air Suspension,Suspension & Steering,
Steering System,Suspension & Steering,
HVAC Unit,HVAC,
Pneumatic Doors,Doors & Pneumatics,
Tyres & Wheels,Tyres & Wheels,
Lighting,Electrical & Wiring,
VCU / Software,Software & Firmware,
